elev_lo_m,elev_hi_m,n_pixels,snow_fraction
3900.0,4000.0,2144,1.0
4000.0,4100.0,7786,1.0
4100.0,4200.0,3278,1.0
4200.0,4300.0,3377,1.0
4300.0,4400.0,10156,1.0
4400.0,4500.0,18350,1.0
4500.0,4600.0,14321,1.0
4600.0,4700.0,13274,0.9997739942745216
4700.0,4800.0,12277,0.9981265781542722
4800.0,4900.0,12049,0.9970951946219603
4900.0,5000.0,10670,0.9986879100281162
5000.0,5100.0,10948,0.9978078187796858
5100.0,5200.0,9448,0.9962955122777307
5200.0,5300.0,6306,0.9995242626070409
5300.0,5400.0,5021,1.0
5400.0,5500.0,3819,0.9994763026970411
5500.0,5600.0,2734,0.9992684711046086
5600.0,5700.0,571,1.0
