elev_lo_m,elev_hi_m,n_pixels,snow_fraction
3800.0,3900.0,3322,0.24683925346177002
3900.0,4000.0,46140,0.4508885999133073
4000.0,4100.0,36245,0.6315353841909229
4100.0,4200.0,30553,0.74130199980362
4200.0,4300.0,32826,0.7909583866447328
4300.0,4400.0,44365,0.8158909049926744
4400.0,4500.0,61943,0.850039552491807
4500.0,4600.0,75374,0.8783798126674981
4600.0,4700.0,81665,0.9030061837996693
4700.0,4800.0,72790,0.9004808352795713
4800.0,4900.0,74127,0.9223764620178883
4900.0,5000.0,84466,0.9515781497880804
5000.0,5100.0,89444,0.9558159295201467
5100.0,5200.0,80793,0.9545752726102509
5200.0,5300.0,67911,0.9449426455213441
5300.0,5400.0,57543,0.9437116591071025
5400.0,5500.0,33717,0.9182608179849927
5500.0,5600.0,19155,0.9149047246149831
5600.0,5700.0,9087,0.9104214812369319
5700.0,5800.0,2477,0.8691966088009689
5800.0,5900.0,711,0.9057665260196905
