elev_lo_m,elev_hi_m,n_pixels,snow_fraction
3800.0,3900.0,3322,0.005418422636965683
3900.0,4000.0,46140,0.048894668400520154
4000.0,4100.0,36245,0.17861774037798317
4100.0,4200.0,30553,0.16921415245638727
4200.0,4300.0,32827,0.3013677765254211
4300.0,4400.0,44366,0.43828607492223776
4400.0,4500.0,61943,0.5392699740083625
4500.0,4600.0,75374,0.6241144161116565
4600.0,4700.0,81665,0.6746954019469785
4700.0,4800.0,72790,0.6802308009341943
4800.0,4900.0,74127,0.7351302494367774
4900.0,5000.0,84466,0.8299078919328488
5000.0,5100.0,89444,0.8732950225839632
5100.0,5200.0,81073,0.8817855512932788
5200.0,5300.0,67910,0.8687527610072154
5300.0,5400.0,57543,0.8782128147646108
5400.0,5500.0,33717,0.8415932615594507
5500.0,5600.0,19155,0.8578961106760636
5600.0,5700.0,9087,0.8556179157037526
5700.0,5800.0,2477,0.8566814695195801
5800.0,5900.0,711,0.8973277074542897
