elev_lo_m,elev_hi_m,n_pixels,snow_fraction
3900.0,4000.0,26436,0.08193372673626872
4000.0,4100.0,26406,0.26611376202378245
4100.0,4200.0,25137,0.21227672355491906
4200.0,4300.0,23183,0.29362032523832116
4300.0,4400.0,33326,0.5239152613574987
4400.0,4500.0,49402,0.6258653495809886
4500.0,4600.0,56137,0.6694515203876231
4600.0,4700.0,59959,0.6982604779932954
4700.0,4800.0,49128,0.6690685556098356
4800.0,4900.0,39099,0.6648251873449449
4900.0,5000.0,37670,0.7828776214494293
5000.0,5100.0,33761,0.8526406208346909
5100.0,5200.0,27924,0.8879816645179773
5200.0,5300.0,24829,0.9009223085907608
5300.0,5400.0,20169,0.9193812286181764
5400.0,5500.0,10779,0.8905278782818443
5500.0,5600.0,6025,0.9193360995850622
5600.0,5700.0,3723,0.9213000268600591
5700.0,5800.0,1707,0.9478617457527827
5800.0,5900.0,656,0.9664634146341463
