elev_lo_m,elev_hi_m,n_pixels,snow_fraction
3900.0,4000.0,4024,0.0
4000.0,4100.0,3301,0.0
4100.0,4200.0,4434,0.0033829499323410014
4200.0,4300.0,5636,0.01029098651525905
4300.0,4400.0,4229,0.07141168124852211
4400.0,4500.0,6531,0.2789771857295973
4500.0,4600.0,7980,0.27406015037593984
4600.0,4700.0,24724,0.6151108234913445
4700.0,4800.0,20948,0.650515562344854
4800.0,4900.0,16423,0.6185228033854959
4900.0,5000.0,19740,0.7495440729483283
5000.0,5100.0,16477,0.781210171754567
5100.0,5200.0,14223,0.7645363144203051
5200.0,5300.0,12335,0.8038913660316174
5300.0,5400.0,9640,0.8764522821576763
5400.0,5500.0,6280,0.8953821656050955
5500.0,5600.0,2899,0.9606760952052432
5600.0,5700.0,1274,0.9599686028257457
