elev_lo_m,elev_hi_m,n_pixels,snow_fraction
3800.0,3900.0,3322,0.00030102347983142685
3900.0,4000.0,46140,0.004573038578240139
4000.0,4100.0,36245,0.03170092426541592
4100.0,4200.0,30425,0.038849630238290876
4200.0,4300.0,32559,0.09644030836327896
4300.0,4400.0,44366,0.17792904476400848
4400.0,4500.0,61943,0.2755275010897115
4500.0,4600.0,74679,0.3880475100095074
4600.0,4700.0,79344,0.5005797539826577
4700.0,4800.0,69251,0.536714271274061
4800.0,4900.0,70858,0.6152586863868582
4900.0,5000.0,81013,0.7492871514448298
5000.0,5100.0,85953,0.8131769688085349
5100.0,5200.0,76423,0.8229983120264842
5200.0,5300.0,63998,0.8164005125160161
5300.0,5400.0,55437,0.8212745999963923
5400.0,5500.0,32625,0.7640153256704981
5500.0,5600.0,19155,0.8097624641085879
5600.0,5700.0,9087,0.8582590513920986
5700.0,5800.0,2477,0.8914008881711748
5800.0,5900.0,711,0.9212376933895922
