elev_lo_m,elev_hi_m,n_pixels,snow_fraction
3900.0,4000.0,39709,0.001183610768339671
4000.0,4100.0,34513,0.01153188653550836
4100.0,4200.0,29015,0.015474754437359987
4200.0,4300.0,30897,0.025795384665177848
4300.0,4400.0,39395,0.06805432161441807
4400.0,4500.0,50965,0.11433336603551457
4500.0,4600.0,56322,0.3086360569582046
4600.0,4700.0,63458,0.4564278735541618
4700.0,4800.0,53140,0.54028980052691
4800.0,4900.0,52095,0.605163643343891
4900.0,5000.0,60782,0.7497449902931789
5000.0,5100.0,63514,0.8369650785653556
5100.0,5200.0,52718,0.8470731059600136
5200.0,5300.0,44608,0.8223412840746055
5300.0,5400.0,40734,0.8257720822899789
5400.0,5500.0,23045,0.768453026686917
5500.0,5600.0,13883,0.7999711877836203
5600.0,5700.0,6516,0.824585635359116
5700.0,5800.0,1938,0.8219814241486069
5800.0,5900.0,514,0.7976653696498055
