elev_lo_m,elev_hi_m,n_pixels,snow_fraction
3800.0,3900.0,474,0.07172995780590717
3900.0,4000.0,9597,0.31978743357299155
4000.0,4100.0,12820,0.6539001560062403
4100.0,4200.0,8250,0.6167272727272727
4200.0,4300.0,10720,0.6993470149253731
4300.0,4400.0,20648,0.7243800852382798
4400.0,4500.0,33983,0.7860989318188506
4500.0,4600.0,30473,0.7777048534768484
4600.0,4700.0,25026,0.770358826820107
4700.0,4800.0,29306,0.8041015491708182
4800.0,4900.0,29688,0.8457625976825653
4900.0,5000.0,36652,0.8998690385245007
5000.0,5100.0,29353,0.8950703505604197
5100.0,5200.0,23297,0.8689101601064515
5200.0,5300.0,19548,0.8702169019848578
5300.0,5400.0,17265,0.8943527367506516
5400.0,5500.0,9171,0.877112637662196
5500.0,5600.0,5400,0.8694444444444445
5600.0,5700.0,2340,0.726068376068376
5700.0,5800.0,621,0.5909822866344605
