elev_lo_m,elev_hi_m,n_pixels,snow_fraction
3900.0,4000.0,368,0.0
4200.0,4300.0,351,0.19658119658119658
4300.0,4400.0,3784,0.4090909090909091
4400.0,4500.0,6494,0.5425007699414844
4500.0,4600.0,3494,0.5632512879221523
4600.0,4700.0,6078,0.8552155314248108
4700.0,4800.0,4552,0.8020650263620387
4800.0,4900.0,5586,0.8494450411743645
4900.0,5000.0,6045,0.8810587262200166
5000.0,5100.0,5792,0.9029696132596685
5100.0,5200.0,7166,0.9231091264303656
5200.0,5300.0,5904,0.896680216802168
5300.0,5400.0,6218,0.8856545513026697
5400.0,5500.0,6194,0.8903777849531805
5500.0,5600.0,3659,0.9035255534298989
5600.0,5700.0,1261,1.0
